 lon    lat     emax   emin  azi    delta  shear  2nd-strn
 95.00  46.00  -0.71  -1.21 -70.19  -1.92   0.25   1.68
 95.00  45.50  -0.53  -1.24 -69.83  -1.77   0.36   1.58
 94.50  46.00  -0.11  -1.09 -48.28  -1.20   0.49   1.15
 94.56  45.29   0.15  -1.09 -51.70  -0.94   0.62   1.03
 94.00  46.00   0.16  -1.04 -37.37  -0.88   0.60   0.97
 95.00  45.00   0.43  -1.25 -59.92  -0.82   0.84   1.10
 94.13  45.50   0.27  -1.03 -44.45  -0.76   0.65   0.93
 94.57  44.75   1.88  -1.06 -46.80   0.82   1.47   1.63
 94.13  45.00   1.44  -1.00 137.66   0.45   1.22   1.28
 93.50  46.00   3.90  -1.80 163.25   2.10   2.85   3.38
 95.00  44.50   1.79  -1.15 -53.86   0.64   1.47   1.57
 93.67  45.29   3.82  -1.39 158.71   2.43   2.60   3.35
 94.13  44.50   3.94  -1.00 -45.35   2.95   2.47   3.55
 94.57  44.25   4.02  -1.05 -48.33   2.97   2.53   3.61
 93.70  44.75   5.41  -1.09 152.88   4.32   3.25   4.96
 93.26  45.52   4.45  -1.84 163.26   2.61   3.15   3.87
 95.00  44.00   3.51  -1.07 -51.82   2.44   2.29   3.12
 93.00  46.00   3.85  -1.84 162.22   2.01   2.84   3.33
 93.27  45.00   5.42  -1.39 157.67   4.03   3.41   4.88
 94.13  44.00   6.42  -0.95 -46.29   5.46   3.68   6.00
 93.70  44.25   7.61  -0.73 145.54   6.88   4.17   7.27
 92.86  45.29   4.13  -1.62 160.22   2.51   2.88   3.60
 94.57  43.75   6.36  -0.98 -48.33   5.38   3.67   5.93
 93.27  44.50   7.88  -0.98 151.60   6.90   4.43   7.44
 92.50  46.00   5.05  -2.39 163.86   2.66   3.72   4.37
 95.00  43.50   5.79  -0.95 -50.62   4.84   3.37   5.38
 92.83  44.75   6.12  -1.37 157.16   4.75   3.74   5.56
 93.70  43.75   9.94  -0.42 141.62   9.52   5.18   9.74
 94.13  43.50   9.27  -0.85 -46.72   8.42   5.06   8.88
 93.27  44.00  10.00  -0.54 146.17   9.46   5.27   9.74
 92.40  45.50   4.55  -2.00 161.86   2.55   3.28   3.95
 94.57  43.25   9.31  -0.85 -48.18   8.46   5.08   8.92
 92.83  44.25   9.49  -0.83 149.49   8.66   5.16   9.10
 92.40  45.00   4.28  -1.61 159.39   2.66   2.94   3.74
 92.00  46.00   3.94  -2.16 161.68   1.78   3.05   3.41
 95.00  43.00   8.82  -0.78 -49.95   8.04   4.80   8.45
 92.40  44.50   8.96  -1.20 151.62   7.76   5.08   8.43
 93.27  43.50  11.97  -0.10 142.41  11.87   6.03  11.92
 93.70  43.25  12.56  -0.05 138.82  12.51   6.30  12.54
 92.83  43.75  11.19  -0.37 145.14  10.83   5.78  11.01
 94.13  43.00  12.69  -0.68 -47.15  12.01   6.68  12.37
 91.97  45.25   3.75  -1.89 159.43   1.86   2.82   3.25
 94.57  42.75  13.15  -0.65 -48.19  12.50   6.90  12.83
 92.40  44.00  10.30  -0.75 147.40   9.55   5.52   9.95
 91.97  44.75   7.21  -1.67 156.21   5.53   4.44   6.53
 93.27  43.00  13.84   0.43 138.99  14.27   6.71  14.06
 92.83  43.25  12.45   0.13 141.45  12.59   6.16  12.52
 93.70  42.75  15.42   0.45 136.27  15.86   7.49  15.65
 91.50  46.00   3.99  -2.43 162.89   1.55   3.21   3.48
 95.00  42.50  12.94  -0.54 -49.54  12.40   6.74  12.68
 91.97  44.25   9.43  -1.18 149.39   8.25   5.30   8.90
 91.54  45.50   3.81  -2.21 160.44   1.61   3.01   3.32
 94.13  42.50  16.88  -0.42 -47.67  16.46   8.65  16.68
 91.54  45.00   5.35  -1.97 157.86   3.38   3.66   4.68
 92.40  43.50  11.27  -0.29 143.72  10.99   5.78  11.13
 91.54  44.50   8.33  -1.62 151.21   6.71   4.97   7.65
 91.97  43.75  10.23  -0.76 145.78   9.47   5.50   9.87
 94.57  42.25  18.35  -0.36 -48.30  18.00   9.35  18.18
 92.83  42.75  13.15   0.68 137.59  13.83   6.23  13.50
 93.27  42.50  15.23   1.04 135.29  16.26   7.10  15.77
 92.40  43.00  11.68   0.20 140.09  11.88   5.74  11.78
 93.70  42.25  18.20   1.08 -46.50  19.28   8.56  18.76
 91.09  45.29   4.90  -2.27 159.05   2.64   3.59   4.25
 95.00  42.00  18.84  -0.20 -48.91  18.65   9.52  18.75
 91.00  46.00   4.92  -2.53 159.51   2.40   3.72   4.26
 91.54  44.00   9.25  -1.26 147.61   7.99   5.25   8.69
 94.13  42.00  21.97  -0.04 -48.30  21.93  11.01  21.95
 91.97  43.25  10.55  -0.34 142.46  10.21   5.44  10.38
 91.10  44.75   7.07  -1.98 154.91   5.08   4.52   6.31
 94.57  41.75  26.17   0.08 -48.47  26.25  13.04  26.21
 91.10  44.25   8.23  -1.71 149.56   6.52   4.97   7.53
 91.54  43.50   9.55  -0.89 144.53   8.66   5.22   9.14
 92.83  42.25  12.63   1.24 -47.32  13.87   5.69  13.30
 92.40  42.50  11.18   0.71 136.03  11.89   5.24  11.55
 93.27  42.00  15.13   1.67 -49.89  16.80   6.73  16.03
 90.67  45.50   4.10  -2.50 158.43   1.60   3.30   3.58
 91.97  42.75  10.18   0.11 139.17  10.29   5.03  10.23
 93.70  41.75  19.46   1.83 -50.40  21.29   8.81  20.44
